;indicadoressociais_13
"DZ";"2847"
"EG";"3378"
"LY";"3202"
"MA";"3086"
"SD";"99999999999998"
"TN";"3294"
"BI";"99999999999998"
"KM";"2201"
"DJ";"1959"
"ER";"99999999999998"
"ET";"1782"
"KE";"2064"
"MG";"2002"
"MW";"2207"
"MU";"2907"
"MZ";"1991"
"RW";"1839"
"SC";"2234"
"SO";"1630"
"SS";"99999999999998"
"UG";"2266"
"TZ";"2032"
"ZM";"1893"
"ZW";"2046"
"AO";"1533"
"CM";"2133"
"CF";"1967"
"TD";"1985"
"CG";"2103"
"CD";"99999999999998"
"GQ";"99999999999998"
"GA";"2707"
"ST";"2341"
"BW";"2117"
"LS";"2468"
"NA";"2229"
"ZA";"2877"
"BJ";"2265"
"BF";"2331"
"CV";"2351"
"CI";"2539"
"GM";"2541"
"GH";"2514"
"GN";"2337"
"GW";"2229"
"LR";"2084"
"ML";"2468"
"MR";"2631"
"NE";"2297"
"NG";"2619"
"SN";"2164"
"SL";"2017"
"TG";"2158"
"KZ";"2813"
"KG";"2458"
"TJ";"1953"
"TM";"2613"
"UZ";"2361"
"CN";"2796"
"TW";"3078"
"HK";"3061"
"MO";"2490"
"KP";"2118"
"JP";"2895"
"MN";"2177"
"KR";"3090"
"BN";"2827"
"KH";"2114"
"ID";"2442"
"LA";"2083"
"MY";"2856"
"MM";"1901"
"PH";"2375"
"SG";"99999999999998"
"TH";"2580"
"TL";"1881"
"VN";"2246"
"AF";"1792"
"BD";"2285"
"BT";"99999999999998"
"IN";"2346"
"IR";"3057"
"MV";"2465"
"NP";"2280"
"PK";"2377"
"LK";"2352"
"AM";"2254"
"AZ";"2280"
"BH";"99999999999998"
"CY";"2777"
"GE";"2604"
"IQ";"2195"
"IL";"3547"
"JO";"2561"
"KW";"3439"
"LB";"3327"
"OM";"2634"
"QA";"99999999999998"
"SA";"3088"
"PS";"99999999999998"
"SY";"3037"
"TR";"3634"
"AE";"3329"
"YE";"2081"
"AG";"2131"
"BS";"2749"
"BB";"2860"
"CU";"3002"
"DM";"3010"
"DO";"2211"
"GD";"2254"
"HT";"1937"
"JM";"2751"
"PR";"99999999999998"
"KN";"2480"
"LC";"2675"
"VC";"2480"
"TT";"2761"
"BZ";"2696"
"CR";"2801"
"SV";"2527"
"GT";"2174"
"HN";"2406"
"MX";"3035"
"NI";"2172"
"PA";"2203"
"AR";"3245"
"BO";"2066"
"BR";"2879"
"CL";"2834"
"CO";"2786"
"EC";"2294"
"GY";"2723"
"PY";"2623"
"PE";"2321"
"SR";"2514"
"UY";"2835"
"VE";"2436"
"AU";"3018"
"NZ";"3159"
"FJ";"2847"
"NC";"2764"
"PG";"2325"
"SB";"2326"
"VU";"2696"
"FM";"99999999999998"
"KI";"2862"
"MH";"99999999999998"
"NR";"99999999999998"
"PW";"99999999999998"
"AS";"99999999999998"
"CK";"99999999999998"
"PF";"2808"
"NU";"99999999999998"
"WS";"2767"
"TK";"99999999999998"
"TO";"99999999999998"
"TV";"99999999999998"
"BM";"2635"
"CA";"3502"
"GL";"99999999999998"
"US";"3712"
"BY";"3052"
"BG";"2836"
"CZ";"3122"
"HU";"3088"
"PL";"3408"
"MD";"2502"
"RO";"3153"
"RU";"2907"
"SK";"2815"
"UA";"2887"
"DK";"3327"
"EE";"3069"
"FI";"3165"
"IS";"3153"
"IE";"3718"
"LV";"2840"
"LT";"3187"
"NO";"3405"
"SE";"3113"
"GB";"3387"
"AL";"2778"
"AD";"99999999999998"
"BA";"2881"
"HR";"2612"
"GR";"3614"
"IT";"3678"
"MT";"3349"
"ME";"99999999999998"
"PT";"3548"
"RS";"99999999999998"
"SI";"3058"
"ES";"3341"
"MK";"2725"
"AT";"3709"
"BE";"3728"
"FR";"3616"
"DE";"3326"
"LU";"3482"
"NL";"3267"
"CH";"3381"
