;meioambiente_33
"AF";"0,58"
"AL";"0,41"
"DZ";"0,17"
"AS";"0,20"
"AD";"0,49"
"AO";"0,46"
"AI";"99999999999998"
"AG";"0,20"
"AR";"0,47"
"AM";"0,47"
"AW";"0,11"
"AU";"0,60"
"AT";"0,36"
"AZ";"0,55"
"BS";"0,01"
"BH";"0,13"
"BD";"0,72"
"BB";"0,44"
"BY";"0,46"
"BE";"99999999999998"
"BZ";"0,06"
"BJ";"0,26"
"BM";"0,08"
"BT";"0,14"
"BO";"0,34"
"BA";"0,42"
"BW";"0,46"
"BR";"0,31"
"VG";"0,53"
"BN";"0,02"
"BG";"0,56"
"BF";"0,36"
"BI";"0,76"
"CV";"0,18"
"KH";"0,26"
"CM";"0,19"
"CA";"0,07"
"KY";"0,11"
"CF";"0,08"
"TD";"0,39"
"CL";"0,20"
"CN";"0,56"
"HK";"0,07"
"MO";"99999999999998"
"CO";"0,41"
"KM";"0,68"
"CG";"0,31"
"CK";"0,21"
"CR";"0,38"
"CI";"0,62"
"HR";"0,35"
"CU";"0,62"
"CY";"0,15"
"CZ";"0,55"
"KP";"0,21"
"CD";"0,11"
"DK";"0,63"
"DJ";"0,65"
"DM";"0,23"
"DO";"0,52"
"EC";"0,29"
"EG";"0,03"
"SV";"0,68"
"GQ";"0,12"
"ER";"0,73"
"EE";"0,24"
"ET";"0,30"
"FK";"0,93"
"FO";"0,02"
"FJ";"0,24"
"FI";"0,07"
"FR";"0,55"
"GF";"0,00"
"PF";"0,12"
"GA";"0,20"
"GM";"0,55"
"GE";"0,44"
"DE";"0,50"
"GH";"0,60"
"GI";"99999999999998"
"GR";"0,70"
"GL";"0,01"
"GD";"0,32"
"GP";"0,30"
"GU";"0,37"
"GT";"0,42"
"GN";"0,56"
"GW";"0,55"
"GY";"0,09"
"HT";"0,61"
"HN";"0,30"
"HU";"0,69"
"IS";"0,19"
"IN";"0,61"
"ID";"0,24"
"IR";"0,39"
"IQ";"0,20"
"IE";"0,64"
"IM";"0,75"
"IL";"0,26"
"IT";"0,52"
"JM";"0,45"
"JP";"0,15"
"JO";"0,12"
"KZ";"0,80"
"KE";"0,47"
"KI";"0,46"
"KW";"0,08"
"KG";"0,56"
"LA";"0,08"
"LV";"0,28"
"LB";"0,61"
"LS";"0,77"
"LR";"0,26"
"LY";"0,09"
"LI";"0,44"
"LT";"0,55"
"LU";"99999999999998"
"MG";"0,64"
"MW";"0,47"
"MY";"0,21"
"MV";"0,27"
"ML";"0,31"
"MT";"0,31"
"MH";"0,67"
"MQ";"0,31"
"MR";"0,39"
"MU";"0,50"
"YT";"0,49"
"MX";"0,55"
"FM";"0,32"
"MN";"0,83"
"ME";"99999999999998"
"MS";"0,30"
"MA";"0,69"
"MZ";"0,61"
"MM";"0,16"
"NA";"0,47"
"NR";"0,20"
"NP";"0,29"
"NL";"0,58"
"NC";"0,13"
"NZ";"0,57"
"NI";"0,40"
"NE";"0,28"
"NG";"0,76"
"NU";"0,18"
"NF";"0,25"
"MP";"0,09"
"NO";"0,03"
"OM";"0,03"
"PK";"0,48"
"PW";"0,11"
"PA";"0,29"
"PG";"0,02"
"PY";"0,48"
"PE";"0,17"
"PH";"0,38"
"PN";"99999999999998"
"PL";"0,60"
"PT";"0,39"
"PR";"0,33"
"QA";"0,06"
"KR";"0,21"
"MD";"0,78"
"RE";"0,21"
"RO";"0,64"
"RU";"0,13"
"RW";"0,65"
"SH";"0,31"
"KN";"0,35"
"LC";"0,28"
"PM";"0,13"
"VC";"0,28"
"WS";"0,18"
"SM";"0,17"
"ST";"0,48"
"SA";"0,81"
"SN";"0,45"
"RS";"99999999999998"
"SC";"0,09"
"SL";"0,39"
"SG";"0,02"
"SK";"0,51"
"SI";"0,25"
"SB";"0,03"
"SO";"0,70"
"ZA";"0,81"
"SS";"99999999999998"
"ES";"0,60"
"LK";"0,37"
"SD";"99999999999998"
"SR";"0,01"
"SZ";"0,71"
"SE";"0,08"
"CH";"0,40"
"SY";"0,75"
"TJ";"0,33"
"TH";"0,40"
"MK";"0,50"
"TL";"0,23"
"TG";"0,63"
"TK";"0,60"
"TO";"0,43"
"TT";"0,14"
"TN";"0,60"
"TR";"0,51"
"TM";"0,76"
"TC";"0,01"
"TV";"0,67"
"UG";"0,61"
"UA";"0,72"
"AE";"0,05"
"GB";"0,73"
"TZ";"0,38"
"US";"0,45"
"VI";"0,23"
"UY";"0,85"
"UZ";"0,65"
"VU";"0,14"
"VE";"0,25"
"VN";"0,24"
"WF";"0,43"
"EH";"0,19"
"YE";"0,45"
"ZM";"0,30"
"ZW";"0,37"
