;meioambiente_33
"AF";"0,58"
"AL";"0,41"
"DZ";"0,16"
"AS";"0,15"
"AD";"0,49"
"AO";"0,46"
"AI";"99999999999998"
"AG";"0,20"
"AR";"0,47"
"AM";"99999999999998"
"AW";"0,11"
"AU";"0,61"
"AT";"0,37"
"AZ";"99999999999998"
"BS";"0,01"
"BH";"0,12"
"BD";"0,80"
"BB";"0,44"
"BY";"99999999999998"
"BE";"99999999999998"
"BZ";"0,05"
"BJ";"0,20"
"BM";"0,06"
"BT";"0,10"
"BO";"0,33"
"BA";"99999999999998"
"BW";"0,46"
"BR";"0,29"
"VG";"0,60"
"BN";"0,02"
"BG";"0,56"
"BF";"0,35"
"BI";"0,82"
"CV";"0,17"
"KH";"0,25"
"CM";"0,19"
"CA";"0,07"
"KY";"0,11"
"CF";"0,08"
"TD";"0,38"
"CL";"0,22"
"CN";"0,53"
"HK";"0,08"
"MO";"99999999999998"
"CO";"0,41"
"KM";"0,61"
"CG";"0,31"
"CK";"0,25"
"CR";"0,47"
"CI";"0,59"
"HR";"99999999999998"
"CU";"0,63"
"CY";"0,17"
"CZ";"99999999999998"
"KP";"0,21"
"CD";"0,11"
"DK";"0,65"
"DJ";"0,56"
"DM";"0,24"
"DO";"0,55"
"EC";"0,28"
"EG";"0,03"
"SV";"0,68"
"GQ";"0,12"
"ER";"99999999999998"
"EE";"99999999999998"
"ET";"99999999999998"
"FK";"0,98"
"FO";"0,02"
"FJ";"0,22"
"FI";"0,08"
"FR";"0,56"
"GF";"0,00"
"PF";"0,12"
"GA";"0,20"
"GM";"0,58"
"GE";"99999999999998"
"DE";"0,52"
"GH";"0,55"
"GI";"99999999999998"
"GR";"0,71"
"GL";"0,01"
"GD";"0,38"
"GP";"0,33"
"GU";"0,37"
"GT";"0,40"
"GN";"0,57"
"GW";"0,51"
"GY";"0,09"
"HT";"0,58"
"HN";"0,30"
"HU";"0,72"
"IS";"0,19"
"IN";"0,61"
"ID";"0,25"
"IR";"0,38"
"IQ";"0,21"
"IE";"0,82"
"IM";"0,69"
"IL";"0,27"
"IT";"0,57"
"JM";"0,44"
"JP";"0,16"
"JO";"0,13"
"KZ";"99999999999998"
"KE";"0,48"
"KI";"0,48"
"KW";"0,08"
"KG";"99999999999998"
"LA";"0,07"
"LV";"99999999999998"
"LB";"0,59"
"LS";"0,76"
"LR";"0,27"
"LY";"0,09"
"LI";"0,50"
"LT";"99999999999998"
"LU";"99999999999998"
"MG";"0,62"
"MW";"0,44"
"MY";"0,21"
"MV";"0,27"
"ML";"0,26"
"MT";"0,41"
"MH";"99999999999998"
"MQ";"0,36"
"MR";"0,38"
"MU";"0,55"
"YT";"0,48"
"MX";"0,54"
"FM";"0,33"
"MN";"0,81"
"ME";"99999999999998"
"MS";"0,30"
"MA";"0,67"
"MZ";"0,61"
"MM";"0,16"
"NA";"0,47"
"NR";"0,20"
"NP";"0,29"
"NL";"0,59"
"NC";"0,13"
"NZ";"0,62"
"NI";"0,33"
"NE";"0,25"
"NG";"0,67"
"NU";"0,18"
"NF";"0,25"
"MP";"99999999999998"
"NO";"0,03"
"OM";"0,03"
"PK";"0,47"
"PW";"99999999999998"
"PA";"0,28"
"PG";"0,02"
"PY";"0,43"
"PE";"0,15"
"PH";"0,37"
"PN";"99999999999998"
"PL";"0,61"
"PT";"0,44"
"PR";"0,51"
"QA";"0,05"
"KR";"0,23"
"MD";"99999999999998"
"RE";"0,25"
"RO";"0,64"
"RU";"99999999999998"
"RW";"0,75"
"SH";"0,26"
"KN";"0,46"
"LC";"0,34"
"PM";"0,13"
"VC";"0,33"
"WS";"0,19"
"SM";"0,17"
"ST";"0,44"
"SA";"0,55"
"SN";"0,46"
"RS";"99999999999998"
"SC";"0,11"
"SL";"0,39"
"SG";"0,03"
"SK";"99999999999998"
"SI";"99999999999998"
"SB";"0,02"
"SO";"0,70"
"ZA";"0,79"
"SS";"99999999999998"
"ES";"0,61"
"LK";"0,37"
"SD";"99999999999998"
"SR";"0,01"
"SZ";"0,73"
"SE";"0,08"
"CH";"0,41"
"SY";"0,73"
"TJ";"99999999999998"
"TH";"0,42"
"MK";"99999999999998"
"TL";"0,21"
"TG";"0,58"
"TK";"0,50"
"TO";"0,44"
"TT";"0,14"
"TN";"0,56"
"TR";"0,52"
"TM";"99999999999998"
"TC";"0,01"
"TV";"0,67"
"UG";"0,59"
"UA";"99999999999998"
"AE";"0,03"
"GB";"0,76"
"TZ";"0,36"
"US";"0,47"
"VI";"0,31"
"UY";"0,85"
"UZ";"99999999999998"
"VU";"0,12"
"VE";"0,25"
"VN";"0,21"
"WF";"0,43"
"EH";"0,19"
"YE";"0,44"
"ZM";"0,28"
"ZW";"0,33"
