;meioambiente_33
"AF";"0,58"
"AL";"0,45"
"DZ";"0,19"
"AS";"0,15"
"AD";"0,55"
"AO";"0,46"
"AI";"99999999999998"
"AG";"0,20"
"AR";"0,50"
"AM";"99999999999998"
"AW";"0,11"
"AU";"0,60"
"AT";"0,43"
"AZ";"99999999999998"
"BS";"0,01"
"BH";"0,10"
"BD";"0,73"
"BB";"0,44"
"BY";"99999999999998"
"BE";"99999999999998"
"BZ";"0,03"
"BJ";"0,13"
"BM";"0,06"
"BT";"0,08"
"BO";"0,28"
"BA";"99999999999998"
"BW";"0,46"
"BR";"0,19"
"VG";"0,40"
"BN";"0,04"
"BG";"0,51"
"BF";"0,30"
"BI";"0,62"
"CV";"0,16"
"KH";"0,20"
"CM";"0,16"
"CA";"0,08"
"KY";"0,11"
"CF";"0,08"
"TD";"0,38"
"CL";"0,18"
"CN";"0,37"
"HK";"0,14"
"MO";"99999999999998"
"CO";"0,37"
"KM";"0,51"
"CG";"0,31"
"CK";"0,25"
"CR";"0,28"
"CI";"0,50"
"HR";"99999999999998"
"CU";"0,35"
"CY";"0,44"
"CZ";"99999999999998"
"KP";"0,20"
"CD";"0,11"
"DK";"0,74"
"DJ";"0,56"
"DM";"0,24"
"DO";"0,46"
"EC";"0,17"
"EG";"0,03"
"SV";"0,60"
"GQ";"0,11"
"ER";"99999999999998"
"EE";"99999999999998"
"ET";"99999999999998"
"FK";"0,99"
"FO";"0,02"
"FJ";"0,12"
"FI";"0,09"
"FR";"0,63"
"GF";"0,00"
"PF";"0,12"
"GA";"0,20"
"GM";"0,52"
"GE";"99999999999998"
"DE";"0,56"
"GH";"0,51"
"GI";"99999999999998"
"GR";"0,69"
"GL";"0,01"
"GD";"0,65"
"GP";"0,34"
"GU";"0,30"
"GT";"0,25"
"GN";"0,59"
"GW";"0,48"
"GY";"0,07"
"HT";"0,60"
"HN";"0,27"
"HU";"0,78"
"IS";"0,21"
"IN";"0,59"
"ID";"0,21"
"IR";"0,36"
"IQ";"0,20"
"IE";"0,82"
"IM";"0,57"
"IL";"0,23"
"IT";"0,70"
"JM";"0,49"
"JP";"0,19"
"JO";"0,12"
"KZ";"99999999999998"
"KE";"0,44"
"KI";"0,48"
"KW";"0,08"
"KG";"99999999999998"
"LA";"0,07"
"LV";"99999999999998"
"LB";"0,56"
"LS";"0,85"
"LR";"0,27"
"LY";"0,06"
"LI";"0,56"
"LT";"99999999999998"
"LU";"99999999999998"
"MG";"0,60"
"MW";"0,35"
"MY";"0,10"
"MV";"0,17"
"ML";"0,26"
"MT";"0,53"
"MH";"99999999999998"
"MQ";"0,32"
"MR";"0,38"
"MU";"0,49"
"YT";"0,40"
"MX";"0,51"
"FM";"0,34"
"MN";"0,91"
"ME";"99999999999998"
"MS";"0,50"
"MA";"0,53"
"MZ";"0,59"
"MM";"0,16"
"NA";"0,47"
"NR";"0,15"
"NP";"0,25"
"NL";"0,68"
"NC";"0,14"
"NZ";"0,60"
"NI";"0,29"
"NE";"0,25"
"NG";"0,59"
"NU";"0,12"
"NF";"0,25"
"MP";"99999999999998"
"NO";"0,03"
"OM";"0,03"
"PK";"0,46"
"PW";"99999999999998"
"PA";"0,22"
"PG";"0,01"
"PY";"0,26"
"PE";"0,13"
"PH";"0,26"
"PN";"99999999999998"
"PL";"0,66"
"PT";"0,42"
"PR";"0,68"
"QA";"0,04"
"KR";"0,22"
"MD";"99999999999998"
"RE";"0,24"
"RO";"0,64"
"RU";"99999999999998"
"RW";"0,54"
"SH";"0,26"
"KN";"0,57"
"LC";"0,28"
"PM";"0,13"
"VC";"0,26"
"WS";"0,20"
"SM";"0,17"
"ST";"0,36"
"SA";"0,40"
"SN";"0,45"
"RS";"99999999999998"
"SC";"0,11"
"SL";"0,36"
"SG";"0,21"
"SK";"99999999999998"
"SI";"99999999999998"
"SB";"0,02"
"SO";"0,70"
"ZA";"0,83"
"SS";"99999999999998"
"ES";"0,66"
"LK";"0,27"
"SD";"99999999999998"
"SR";"0,00"
"SZ";"0,86"
"SE";"0,10"
"CH";"0,44"
"SY";"0,81"
"TJ";"99999999999998"
"TH";"0,23"
"MK";"99999999999998"
"TL";"0,15"
"TG";"0,56"
"TK";"0,40"
"TO";"0,39"
"TT";"0,19"
"TN";"0,56"
"TR";"0,48"
"TM";"99999999999998"
"TC";"0,01"
"TV";"0,67"
"UG";"0,46"
"UA";"99999999999998"
"AE";"0,02"
"GB";"0,82"
"TZ";"0,29"
"US";"0,48"
"VI";"0,34"
"UY";"0,93"
"UZ";"99999999999998"
"VU";"0,09"
"VE";"0,22"
"VN";"0,19"
"WF";"0,29"
"EH";"0,19"
"YE";"0,44"
"ZM";"0,26"
"ZW";"0,29"
