;indicadoressociais_12
"AW";"99999999999998"
"AF";"24.5"
"AO";"45.4"
"AL";"9.5"
"AD";"99999999999998"
"AE";"6.0"
"AR";"4.1"
"AM";"5.0"
"AS";"99999999999998"
"AG";"99999999999998"
"AU";"2.5"
"AT";"2.5"
"AZ";"2.5"
"BI";"99999999999998"
"BE";"2.5"
"BJ";"12.7"
"BF";"22.7"
"BD";"16.4"
"BG";"5.8"
"BH";"99999999999998"
"BS";"99999999999998"
"BA";"2.6"
"BY";"2.5"
"BZ";"5.5"
"BM";"99999999999998"
"BO";"28.1"
"BR";"2.7"
"BB";"5.1"
"BN";"3.0"
"BT";"99999999999998"
"BW";"31.8"
"CF";"33.7"
"CA";"2.5"
"CH";"2.5"
"CL";"4.1"
"CN";"13.4"
"CI";"21.3"
"CM";"14.4"
"CD";"99999999999998"
"CG";"41.8"
"CO";"9.5"
"KM";"99999999999998"
"CV";"14.5"
"CR";"5.1"
"CU";"2.5"
"CW";"99999999999998"
"KY";"99999999999998"
"CY";"4.7"
"CZ";"2.5"
"DE";"2.5"
"DJ";"23.9"
"DM";"4.9"
"DK";"2.5"
"DO";"20.2"
"DZ";"7.6"
"EC";"14.4"
"EG";"4.6"
"ER";"99999999999998"
"ES";"2.5"
"EE";"2.8"
"ET";"35.6"
"FI";"2.5"
"FJ";"4.3"
"FR";"2.5"
"FO";"99999999999998"
"FM";"99999999999998"
"GA";"11.5"
"GB";"2.5"
"GE";"6.7"
"GH";"6.3"
"GI";"99999999999998"
"GN";"18.5"
"GM";"11.3"
"GW";"23.3"
"GQ";"99999999999998"
"GR";"2.5"
"GD";"99999999999998"
"GL";"99999999999998"
"GT";"15.9"
"GU";"99999999999998"
"GY";"11.2"
"HK";"2.5"
"HN";"15.3"
"HR";"2.5"
"HT";"52.5"
"HU";"2.5"
"ID";"16.9"
"IM";"99999999999998"
"IN";"18.1"
"IE";"2.5"
"IR";"6.4"
"IQ";"29.7"
"IS";"2.5"
"IL";"2.5"
"IT";"2.5"
"JM";"8.2"
"JO";"7.6"
"JP";"2.5"
"KZ";"3.8"
"KE";"25.4"
"KG";"9.8"
"KH";"18.7"
"KI";"4.4"
"KN";"99999999999998"
"KR";"2.5"
"KW";"2.5"
"LA";"23.9"
"LB";"3.5"
"LR";"37.3"
"LY";"99999999999998"
"LC";"99999999999998"
"LI";"99999999999998"
"LK";"15.4"
"LS";"12.3"
"LT";"2.5"
"LU";"2.5"
"LV";"2.5"
"MO";"14.0"
"MF";"99999999999998"
"MA";"5.5"
"MC";"99999999999998"
"MD";"99999999999998"
"MG";"32.2"
"MV";"15.2"
"MX";"4.7"
"MH";"99999999999998"
"MK";"4.1"
"ML";"7.7"
"MT";"2.5"
"MM";"21.6"
"ME";"2.5"
"MN";"24.2"
"MP";"99999999999998"
"MZ";"33.4"
"MR";"9.3"
"MU";"4.9"
"MW";"22.3"
"MY";"4.2"
"NA";"33.3"
"NC";"8.1"
"NE";"12.4"
"NG";"6.0"
"NI";"22.1"
"NL";"2.5"
"NO";"2.5"
"NP";"12.6"
"NR";"99999999999998"
"NZ";"2.5"
"OM";"7.1"
"PK";"21.3"
"PA";"16.3"
"PE";"14.2"
"PH";"13.3"
"PW";"99999999999998"
"PG";"99999999999998"
"PL";"2.5"
"PR";"99999999999998"
"KP";"40.8"
"PT";"2.5"
"PY";"12.8"
"PS";"99999999999998"
"PF";"4.1"
"QA";"99999999999998"
"RO";"2.5"
"RU";"2.5"
"RW";"39.5"
"SA";"7.7"
"SD";"99999999999998"
"SN";"14.7"
"SG";"99999999999998"
"SB";"10.9"
"SL";"30.4"
"SV";"11.4"
"SM";"99999999999998"
"SO";"99999999999998"
"RS";"6.0"
"SS";"99999999999998"
"ST";"11.3"
"SR";"9.1"
"SK";"5.4"
"SI";"2.5"
"SE";"2.5"
"SZ";"22.6"
"SX";"99999999999998"
"SC";"99999999999998"
"SY";"99999999999998"
"TC";"99999999999998"
"TD";"40.7"
"TG";"22.9"
"TH";"10.0"
"TJ";"99999999999998"
"TM";"4.5"
"TL";"31.0"
"TO";"99999999999998"
"TT";"10.4"
"TN";"5.2"
"TR";"2.5"
"TV";"99999999999998"
"TZ";"34.1"
"UG";"29.6"
"UA";"2.5"
"UY";"3.0"
"US";"2.5"
"UZ";"10.3"
"VC";"7.4"
"VE";"4.0"
"VG";"99999999999998"
"VI";"99999999999998"
"VN";"15.5"
"VU";"5.8"
"WS";"3.5"
"YE";"27.0"
"ZA";"4.6"
"ZM";"53.0"
"ZW";"43.0"
