;meioambiente_33
"AF";"0.58"
"AL";"0.42"
"DZ";"0.17"
"AS";"0.23"
"AD";"0.49"
"AO";"0.46"
"AI";"99999999999998"
"AG";"0.20"
"AR";"0.47"
"AM";"0.49"
"AW";"0.11"
"AU";"0.58"
"AT";"0.35"
"AZ";"0.57"
"BS";"0.01"
"BH";"0.13"
"BD";"0.72"
"BB";"0.40"
"BY";"0.44"
"BE";"0.46"
"BZ";"0.07"
"BJ";"0.30"
"BM";"0.08"
"BT";"0.13"
"BO";"0.34"
"BA";"0.41"
"BW";"0.46"
"BR";"0.32"
"VG";"0.47"
"BN";"0.02"
"BG";"0.49"
"BF";"0.39"
"BI";"0.71"
"CV";"0.18"
"KH";"0.28"
"CM";"0.19"
"CA";"0.07"
"KY";"0.11"
"CF";"0.08"
"TD";"0.39"
"CL";"0.21"
"CN";"0.55"
"HK";"0.07"
"MO";"99999999999998"
"CO";"0.38"
"KM";"0.73"
"CG";"0.31"
"CK";"0.15"
"CR";"0.36"
"CI";"0.62"
"HR";"0.21"
"CU";"0.63"
"CY";"0.15"
"CZ";"0.55"
"KP";"0.21"
"CD";"0.11"
"DK";"0.63"
"DJ";"0.73"
"DM";"0.29"
"DO";"0.52"
"EC";"0.30"
"EG";"0.03"
"SV";"0.75"
"GQ";"0.12"
"ER";"0.75"
"EE";"0.16"
"ET";"0.30"
"FK";"0.93"
"FO";"0.02"
"FJ";"0.23"
"FI";"0.07"
"FR";"0.54"
"GF";"0.00"
"PF";"0.12"
"GA";"0.20"
"GM";"0.51"
"GE";"0.43"
"DE";"0.49"
"GH";"0.64"
"GI";"99999999999998"
"GR";"0.66"
"GL";"0.01"
"GD";"0.38"
"GP";"0.28"
"GU";"0.37"
"GT";"0.42"
"GN";"0.56"
"GW";"0.57"
"GY";"0.09"
"HT";"0.61"
"HN";"0.27"
"HU";"0.65"
"IS";"0.19"
"IN";"0.61"
"ID";"0.27"
"IR";"0.39"
"IQ";"0.20"
"IE";"0.63"
"IM";"0.80"
"IL";"0.26"
"IT";"0.52"
"JM";"0.44"
"JP";"0.13"
"JO";"0.12"
"KZ";"0.79"
"KE";"0.47"
"KI";"0.42"
"KW";"0.08"
"KG";"0.56"
"LA";"0.08"
"LV";"0.26"
"LB";"0.60"
"LS";"0.76"
"LR";"0.27"
"LY";"0.09"
"LI";"0.43"
"LT";"0.46"
"LU";"0.49"
"MG";"0.70"
"MW";"0.51"
"MY";"0.21"
"MV";"0.40"
"ML";"0.33"
"MT";"0.31"
"MH";"0.67"
"MQ";"0.31"
"MR";"0.38"
"MU";"0.49"
"YT";"0.53"
"MX";"0.55"
"FM";"0.32"
"MN";"0.83"
"ME";"99999999999998"
"MS";"0.30"
"MA";"0.68"
"MZ";"0.62"
"MM";"0.17"
"NA";"0.47"
"NR";"0.20"
"NP";"0.30"
"NL";"0.58"
"NC";"0.14"
"NZ";"0.46"
"NI";"0.44"
"NE";"0.30"
"NG";"0.78"
"NU";"0.18"
"NF";"0.25"
"MP";"0.07"
"NO";"0.03"
"OM";"0.04"
"PK";"0.48"
"PW";"0.11"
"PA";"0.30"
"PG";"0.02"
"PY";"0.49"
"PE";"0.18"
"PH";"0.37"
"PN";"99999999999998"
"PL";"0.55"
"PT";"0.42"
"PR";"0.25"
"QA";"0.06"
"KR";"0.20"
"MD";"0.77"
"RE";"0.20"
"RO";"0.64"
"RU";"0.13"
"RW";"0.74"
"SH";"0.31"
"KN";"0.31"
"LC";"0.21"
"PM";"0.13"
"VC";"0.26"
"WS";"0.17"
"SM";"0.17"
"ST";"0.53"
"SA";"0.81"
"SN";"0.45"
"RS";"99999999999998"
"SC";"0.09"
"SL";"0.45"
"SG";"0.02"
"SK";"0.47"
"SI";"0.25"
"SB";"0.03"
"SO";"0.70"
"ZA";"0.81"
"SS";"99999999999998"
"ES";"0.59"
"LK";"0.38"
"SD";"99999999999998"
"SR";"0.00"
"SZ";"0.71"
"SE";"0.08"
"CH";"0.39"
"SY";"0.75"
"TJ";"0.33"
"TH";"0.39"
"MK";"0.52"
"TL";"0.24"
"TG";"0.64"
"TK";"0.60"
"TO";"0.42"
"TT";"0.12"
"TN";"0.63"
"TR";"0.54"
"TM";"0.75"
"TC";"0.01"
"TV";"0.57"
"UG";"0.64"
"UA";"0.71"
"AE";"0.07"
"GB";"0.70"
"TZ";"0.39"
"US";"0.45"
"VI";"0.17"
"UY";"0.85"
"UZ";"0.64"
"VU";"0.15"
"VE";"0.24"
"VN";"0.30"
"WF";"0.43"
"EH";"0.19"
"YE";"0.45"
"ZM";"0.30"
"ZW";"0.40"
