;economia_25
"AF";"99999999999998"
"AL";"304.00"
"DZ";"520.00"
"AS";"34.00"
"AD";"99999999999998"
"AO";"9.00"
"AG";"220.00"
"AR";"2,289.00"
"AM";"12.00"
"AW";"619.00"
"AU";"3,726.00"
"AT";"17,173.00"
"AZ";"99999999999998"
"BS";"1,598.00"
"BH";"2,311.00"
"BD";"156.00"
"BB";"442.00"
"BY";"160.60"
"BE";"5,560.00"
"BZ";"131.00"
"BJ";"138.00"
"BM";"387.00"
"BT";"4.80"
"BO";"284.00"
"BA";"99999999999998"
"BW";"521.00"
"BR";"1,991.00"
"VG";"219.00"
"BN";"99999999999998"
"BG";"3,466.00"
"BF";"124.00"
"BI";"34.00"
"CV";"28.00"
"KH";"220.00"
"CM";"99999999999998"
"CA";"16,932.00"
"KY";"361.00"
"CF";"26.00"
"TD";"99999999999998"
"CL";"1,540.00"
"CN";"20,034.00"
"CO";"1,399.00"
"KM";"23.00"
"CD";"35.00"
"CG";"37.00"
"CR";"785.00"
"CI";"99999999999998"
"HR";"1,485.00"
"CU";"742.00"
"CW";"224.00"
"CY";"2,100.00"
"CZ";"3,381.00"
"DK";"2,124.00"
"DJ";"21.00"
"DM";"60.00"
"DO";"1,776.00"
"EC";"440.00"
"EG";"2,871.00"
"SV";"235.00"
"GQ";"99999999999998"
"ER";"315.00"
"EE";"530.00"
"ET";"103.00"
"FO";"99999999999998"
"FJ";"318.00"
"FI";"1,779.00"
"FR";"60,033.00"
"PF";"172.00"
"GA";"125.00"
"GM";"45.00"
"GE";"85.00"
"DE";"14,847.00"
"GH";"286.00"
"GI";"99999999999998"
"GR";"10,130.00"
"GL";"99999999999998"
"GD";"108.00"
"GU";"1,362.00"
"GT";"563.00"
"GN";"99999999999998"
"GW";"99999999999998"
"GY";"106.00"
"HT";"145.00"
"HN";"271.00"
"HK";"99999999999998"
"HU";"2,878.00"
"IS";"190.00"
"IN";"2,124.00"
"ID";"4,324.00"
"IR";"568.00"
"IQ";"61.00"
"IE";"4,818.00"
"IM";"99999999999998"
"IL";"2,215.00"
"IT";"31,052.00"
"JM";"1,147.00"
"JP";"3,345.00"
"JO";"1,075.00"
"KZ";"99999999999998"
"KE";"918.00"
"KI";"3.90"
"KP";"99999999999998"
"KR";"3,753.00"
"XK";"99999999999998"
"KW";"72.00"
"KG";"36.00"
"LA";"60.00"
"LV";"539.00"
"LB";"450.00"
"LS";"209.00"
"LR";"99999999999998"
"LY";"99999999999998"
"LI";"59.00"
"LT";"650.00"
"LU";"768.00"
"MO";"4,202.00"
"MK";"147.00"
"MG";"75.00"
"MW";"192.00"
"MY";"7,469.00"
"MV";"315.00"
"ML";"42.00"
"MT";"1,116.00"
"MH";"5.50"
"MR";"99999999999998"
"MU";"422.00"
"MX";"20,241.00"
"FM";"99999999999998"
"MD";"32.00"
"MC";"233.00"
"MN";"108.00"
"ME";"99999999999998"
"MA";"2,602.00"
"MZ";"99999999999998"
"MM";"194.00"
"NA";"272.00"
"NR";"99999999999998"
"NP";"363.00"
"NL";"6,574.00"
"NC";"86.00"
"NZ";"99999999999998"
"NI";"281.00"
"NE";"35.00"
"NG";"656.00"
"MP";"676.00"
"NO";"2,880.00"
"OM";"279.00"
"PK";"378.00"
"PW";"53.00"
"PA";"345.00"
"PG";"42.00"
"PY";"438.00"
"PE";"479.00"
"PH";"1,760.00"
"PL";"19,215.00"
"PT";"4,572.00"
"PR";"3,131.00"
"QA";"309.00"
"RO";"5,445.00"
"RU";"10,290.00"
"RW";"99999999999998"
"WS";"68.00"
"SM";"28.00"
"ST";"6.20"
"SA";"3,325.00"
"SN";"280.00"
"RS";"99999999999998"
"SC";"121.00"
"SL";"13.80"
"SG";"6,070.00"
"SX";"460.00"
"SK";"903.00"
"SI";"732.00"
"SB";"11.80"
"SO";"99999999999998"
"ZA";"4,488.00"
"SS";"99999999999998"
"ES";"32,971.00"
"LK";"403.00"
"KN";"79.00"
"LC";"231.00"
"MF";"99999999999998"
"VC";"60.00"
"SD";"29.00"
"SR";"43.00"
"SE";"2,310.00"
"CH";"6,946.00"
"SY";"815.00"
"TJ";"99999999999998"
"TZ";"285.00"
"TH";"6,952.00"
"TL";"99999999999998"
"TG";"53.00"
"TO";"29.00"
"TT";"260.00"
"TN";"4,120.00"
"TR";"7,083.00"
"TM";"218.00"
"TC";"79.00"
"TV";"0.90"
"UG";"160.00"
"UA";"3,716.00"
"AE";"2,315.00"
"GB";"21,719.00"
"US";"43,318.00"
"UY";"2,022.00"
"UZ";"92.00"
"VU";"44.00"
"VE";"700.00"
"VN";"1,351.00"
"VI";"454.00"
"YE";"61.00"
"ZM";"163.00"
"ZW";"1,416.00"
