;meioambiente_33
"AF";"0,58"
"AL";"0,42"
"DZ";"0,19"
"AS";"0,15"
"AD";"0,51"
"AO";"0,46"
"AI";"99999999999998"
"AG";"0,16"
"AR";"0,47"
"AM";"99999999999998"
"AW";"0,11"
"AU";"0,63"
"AT";"0,39"
"AZ";"99999999999998"
"BS";"0,01"
"BH";"0,10"
"BD";"0,77"
"BB";"0,44"
"BY";"99999999999998"
"BE";"99999999999998"
"BZ";"0,04"
"BJ";"0,16"
"BM";"0,06"
"BT";"0,08"
"BO";"0,29"
"BA";"99999999999998"
"BW";"0,46"
"BR";"0,25"
"VG";"0,53"
"BN";"0,03"
"BG";"0,54"
"BF";"0,31"
"BI";"0,78"
"CV";"0,16"
"KH";"0,14"
"CM";"0,17"
"CA";"0,08"
"KY";"0,11"
"CF";"0,08"
"TD";"0,38"
"CL";"0,21"
"CN";"0,41"
"HK";"0,12"
"MO";"99999999999998"
"CO";"0,41"
"KM";"0,51"
"CG";"0,31"
"CK";"0,25"
"CR";"0,40"
"CI";"0,52"
"HR";"99999999999998"
"CU";"0,54"
"CY";"0,43"
"CZ";"99999999999998"
"KP";"0,20"
"CD";"0,11"
"DK";"0,70"
"DJ";"0,56"
"DM";"0,25"
"DO";"0,50"
"EC";"0,18"
"EG";"0,03"
"SV";"0,62"
"GQ";"0,12"
"ER";"99999999999998"
"EE";"99999999999998"
"ET";"99999999999998"
"FK";"0,99"
"FO";"0,02"
"FJ";"0,13"
"FI";"0,08"
"FR";"0,59"
"GF";"0,00"
"PF";"0,12"
"GA";"0,20"
"GM";"0,54"
"GE";"99999999999998"
"DE";"0,54"
"GH";"0,51"
"GI";"99999999999998"
"GR";"0,71"
"GL";"0,01"
"GD";"0,59"
"GP";"0,36"
"GU";"0,31"
"GT";"0,27"
"GN";"0,58"
"GW";"0,49"
"GY";"0,07"
"HT";"0,57"
"HN";"0,28"
"HU";"0,76"
"IS";"0,20"
"IN";"0,60"
"ID";"0,21"
"IR";"0,38"
"IQ";"0,21"
"IE";"0,82"
"IM";"0,57"
"IL";"0,25"
"IT";"0,59"
"JM";"0,47"
"JP";"0,18"
"JO";"0,13"
"KZ";"99999999999998"
"KE";"0,44"
"KI";"0,47"
"KW";"0,08"
"KG";"99999999999998"
"LA";"0,07"
"LV";"99999999999998"
"LB";"0,63"
"LS";"0,78"
"LR";"0,27"
"LY";"0,08"
"LI";"0,56"
"LT";"99999999999998"
"LU";"99999999999998"
"MG";"0,61"
"MW";"0,42"
"MY";"0,13"
"MV";"0,23"
"ML";"0,26"
"MT";"0,44"
"MH";"99999999999998"
"MQ";"0,34"
"MR";"0,38"
"MU";"0,56"
"YT";"0,43"
"MX";"0,50"
"FM";"0,33"
"MN";"0,91"
"ME";"99999999999998"
"MS";"0,20"
"MA";"0,59"
"MZ";"0,60"
"MM";"0,16"
"NA";"0,47"
"NR";"0,20"
"NP";"0,28"
"NL";"0,62"
"NC";"0,14"
"NZ";"0,61"
"NI";"0,30"
"NE";"0,24"
"NG";"0,66"
"NU";"0,15"
"NF";"0,25"
"MP";"99999999999998"
"NO";"0,02"
"OM";"0,03"
"PK";"0,47"
"PW";"99999999999998"
"PA";"0,24"
"PG";"0,02"
"PY";"0,30"
"PE";"0,14"
"PH";"0,29"
"PN";"99999999999998"
"PL";"0,63"
"PT";"0,43"
"PR";"0,55"
"QA";"0,04"
"KR";"0,24"
"MD";"99999999999998"
"RE";"0,22"
"RO";"0,65"
"RU";"99999999999998"
"RW";"0,61"
"SH";"0,26"
"KN";"0,43"
"LC";"0,33"
"PM";"0,13"
"VC";"0,26"
"WS";"0,23"
"SM";"0,17"
"ST";"0,39"
"SA";"0,40"
"SN";"0,47"
"RS";"99999999999998"
"SC";"0,11"
"SL";"0,37"
"SG";"0,16"
"SK";"99999999999998"
"SI";"99999999999998"
"SB";"0,02"
"SO";"0,70"
"ZA";"0,78"
"SS";"99999999999998"
"ES";"0,65"
"LK";"0,37"
"SD";"99999999999998"
"SR";"0,00"
"SZ";"0,88"
"SE";"0,09"
"CH";"0,42"
"SY";"0,79"
"TJ";"99999999999998"
"TH";"0,31"
"MK";"99999999999998"
"TL";"0,17"
"TG";"0,53"
"TK";"0,40"
"TO";"0,46"
"TT";"0,21"
"TN";"0,58"
"TR";"0,50"
"TM";"99999999999998"
"TC";"0,01"
"TV";"0,67"
"UG";"0,51"
"UA";"99999999999998"
"AE";"0,03"
"GB";"0,77"
"TZ";"0,33"
"US";"0,47"
"VI";"0,43"
"UY";"0,88"
"UZ";"99999999999998"
"VU";"0,10"
"VE";"0,23"
"VN";"0,20"
"WF";"0,36"
"EH";"0,19"
"YE";"0,44"
"ZM";"0,27"
"ZW";"0,31"
